part,vehicle_segment,price
front_bumper,hatchback,8500
front_bumper,sedan,11000
front_bumper,suv,15000
rear_bumper,hatchback,9000
rear_bumper,sedan,11500
rear_bumper,suv,16000
front_door,hatchback,14000
front_door,sedan,16000
front_door,suv,19000
rear_door,hatchback,13500
rear_door,sedan,15500
rear_door,suv,18500
hood,hatchback,12000
hood,sedan,14000
hood,suv,17000
trunk,hatchback,11000
trunk,sedan,13500
trunk,suv,16000
fender,hatchback,8000
fender,sedan,9500
fender,suv,12000
headlight,hatchback,7000
headlight,sedan,8500
headlight,suv,11000
windshield,hatchback,9000
windshield,sedan,11000
windshield,suv,14000
side_mirror,hatchback,4500
side_mirror,sedan,5500
side_mirror,suv,7000
wheel,hatchback,6000
wheel,sedan,7000
wheel,suv,9000
